parent;type;Attribute 1 Name;Attribute 1 Value(s);Attribute 1 Visible;Attribute 2 Name;Attribute 2 Value(s);Attribute 2 Visible;Attribute 3 Name;Attribute 3 Value(s);Attribute 3 Visible;Attribute 4 Name;Attribute 4 Value(s);Attribute 4 Visible;Attribute 5 Name;Attribute 5 Value(s);Attribute 5 Visible;Attribute 6 Name;Attribute 6 Value(s);Attribute 6 Visible;Attribute 7 Name;Attribute 7 Value(s);Attribute 7 Visible;Attribute 8 Name;Attribute 8 Value(s);Attribute 8 Visible;Attribute 9 Name;Attribute 9 Value(s);Attribute 9 Visible;Attribute 10 Name;Attribute 10 Value(s);Attribute 10 Visible;Attribute 11 Name;Attribute 11 Value(s);Attribute 11 Visible;Имя;Цена;Images;Categories;SKU;Tags;Tax class;В наличии?
19020;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;;0;Размерность;;0;Длина;;0;Страна;;0;Оптовая цена;;0;Стиль;;0;Блуза;;https://sun9-84.userapi.com/sun9-84/impg/BbMt4fHnxEWataqzSwRM-lGhJDOv28JMewAXiQ/F2n7sIWlK8o.jpg?size=486x604&amp&quality=96&amp&sign=fde17fc5884e1e39cabe7e04da4ea0fc&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Блузки и кофточки;19020;Блуза;УСН 6%;1
19020;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;19021;;;1
19020;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;19022;;;1
19020;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;19023;;;1
19020;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;19024;;;1
67521;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;;0;Размерность;;0;Длина;;0;Страна;;0;Оптовая цена;;0;Стиль;;0;Блуза;;https://sun9-84.userapi.com/sun9-81/impg/ldwOjBziuWhslQNSzJdMlBGBXMQ5oaM5m24WuQ/Df_SCQZG_V0.jpg?size=484x604&amp&quality=96&amp&sign=f5e7613c66e91becedf6f4cca2488add&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Блузки и кофточки;67521;Блуза;УСН 6%;1
67521;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;67522;;;1
67521;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;67523;;;1
67521;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;67524;;;1
67521;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;560;;;67525;;;1
76560;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Клеш;;https://sun9-84.userapi.com/sun9-45/impg/LLEkOUKfwct1NWlMWGaLHiIyidVuprwfP_xiow/n9TvFImgfbQ.jpg?size=453x604&amp&quality=96&amp&sign=e383199d2d840e86ddcd76c5658e7960&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Брюки;76560;Клеш;УСН 6%;1
76560;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;76561;;;1
76560;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;76562;;;1
76560;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;76563;;;1
76560;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;76564;;;1
55921;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Клеш;;https://sun9-84.userapi.com/sun9-52/impg/S2-uCuKIFLa8SU4jbPxPWOEvvvrolT_4aossmw/L090JkoRd_8.jpg?size=97x130&amp&quality=96&amp&sign=07444ef566304789160ecc0cbb8d8aa5&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Брюки;55921;Клеш;УСН 6%;1
55921;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;55922;;;1
55921;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;55923;;;1
55921;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;55924;;;1
55921;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;55925;;;1
80367;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Клеш;;https://sun9-84.userapi.com/sun9-36/impg/Lqh21hyc6NOPFQhSdYksLntvUfy8ULFRBVjVqA/TX5r4Y9mn1A.jpg?size=97x130&amp&quality=96&amp&sign=047e05041aa1cb4567f609acc06eb7c8&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Брюки;80367;Клеш;УСН 6%;1
80367;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;80368;;;1
80367;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;80369;;;1
80367;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;80370;;;1
80367;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;80371;;;1
59013;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Клеш;;https://sun9-84.userapi.com/sun9-46/impg/PK3fK5REJk-__afnVMBfxXRImsR9do0D5a-Agg/qPe4Xryuexk.jpg?size=97x130&amp&quality=96&amp&sign=bb6efcd9be4524136639dc806ac10ce6&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Брюки;59013;Клеш;УСН 6%;1
59013;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;59014;;;1
59013;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;59015;;;1
59013;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;59016;;;1
59013;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;59017;;;1
23426;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-61/impg/FZSUm4hIrOM03qJEqU_H7ydw7zdGFI5GRo9Z_A/YaEo1JHSPpo.jpg?size=485x604&amp&quality=96&amp&sign=951446d28b204f73ffb7acf43661163a&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;23426;Платье;УСН 6%;1
23426;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;23427;;;1
23426;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;23428;;;1
23426;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;23429;;;1
23426;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;23430;;;1
16931;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-61/impg/EMpLIUFebU3muKBJuveLXlwDNXN6938Kv-PDlg/7lMYkqD-Zn0.jpg?size=453x604&amp&quality=96&amp&sign=af97b4845337deba24eff437e470630a&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;16931;Платье;УСН 6%;1
16931;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;16932;;;1
16931;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;16933;;;1
16931;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;16934;;;1
16931;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;16935;;;1
62812;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-58/impg/gKR-xFncWOYXYjKs9w02uK4gQ4R2WGRfxgeaqw/DkBV9yOYT3g.jpg?size=487x604&amp&quality=96&amp&sign=4ba875fa803a9422800e05ea97b64cf4&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;62812;Платье;УСН 6%;1
62812;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;62813;;;1
62812;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;62814;;;1
62812;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;62815;;;1
62812;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;62816;;;1
53784;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-66/impg/-O2FTO2P5Nh3bVy4mS30kpU_DjkTXHEXyk9VKA/wUq2mjbwgac.jpg?size=454x604&amp&quality=96&amp&sign=c3597f16290559fed83a3fd8a431ed89&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;53784;Платье;УСН 6%;1
53784;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;53785;;;1
53784;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;53786;;;1
53784;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;53787;;;1
53784;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;53788;;;1
96212;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-82/impg/pLLmLtepXw7cpUVujL_DBvFsNAOvS_VpYoCxWQ/5UXmd5bxoX8.jpg?size=480x604&amp&quality=96&amp&sign=63a08c6f0554087a7e1eebb22da43340&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;96212;Платье;УСН 6%;1
96212;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;96213;;;1
96212;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;96214;;;1
96212;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;96215;;;1
96212;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;96216;;;1
68964;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-41/impg/6cMv-EnQ1Vcz_bb99LxDEgPpSMba6-tsKu5IJQ/C6wmGoaAMcI.jpg?size=483x604&amp&quality=96&amp&sign=99e33c4c0f861d7bcf0bb90dce02522c&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;68964;Платье;УСН 6%;1
68964;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68965;;;1
68964;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68966;;;1
68964;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68967;;;1
68964;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68968;;;1
61442;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-61/impg/FZSUm4hIrOM03qJEqU_H7ydw7zdGFI5GRo9Z_A/YaEo1JHSPpo.jpg?size=485x604&amp&quality=96&amp&sign=951446d28b204f73ffb7acf43661163a&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;61442;Платье;УСН 6%;1
61442;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;61443;;;1
61442;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;61444;;;1
61442;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;61445;;;1
61442;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;61446;;;1
53133;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Костюм двойка;;https://sun9-84.userapi.com/sun9-86/impg/3AbmQpPS2FPHjpshD-gBH7vNx-GVx6zuT6Pz1g/w_Uip3ZgXno.jpg?size=458x604&amp&quality=96&amp&sign=1208918987c86745ca7cbbc98c5e5797&amp&type=album;;53133;Костюм двойка;УСН 6%;1
53133;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;53134;;;1
53133;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;53135;;;1
53133;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;53136;;;1
53133;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;53137;;;1
44555;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Костюм двойка;;https://sun9-84.userapi.com/sun9-85/impg/8Kwlt7gGEjWk7YllNkWqs_o_CaL-2URTBQ3haw/gYeR9Su0DJ0.jpg?size=458x604&amp&quality=96&amp&sign=3d33bec2e01cf4e8527e2724122cd2a5&amp&type=album;;44555;Костюм двойка;УСН 6%;1
44555;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;44556;;;1
44555;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;44557;;;1
44555;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;44558;;;1
44555;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;44559;;;1
49511;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Костюм двойка;;https://sun9-84.userapi.com/sun9-68/impg/2F_tBa9JAn_lKzwKy_VnrJAjCr5qbFLRjDhsKQ/q2Zfmk4CCNM.jpg?size=456x604&amp&quality=96&amp&sign=0e5ff6ccdb8b741072a9596cdbe728bc&amp&type=album;;49511;Костюм двойка;УСН 6%;1
49511;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49512;;;1
49511;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49513;;;1
49511;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49514;;;1
49511;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49515;;;1
20505;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Костюм двойка;;https://sun9-84.userapi.com/sun9-57/impg/MgSMDvPqbQLjGKDTyQRh2r7ayA9ohm8p9Rzb0Q/nO4sTVlZ8Pw.jpg?size=459x604&amp&quality=96&amp&sign=18b0d367d1c9242e7539654849fc683d&amp&type=album;;20505;Костюм двойка;УСН 6%;1
20505;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;20506;;;1
20505;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;20507;;;1
20505;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;20508;;;1
20505;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;20509;;;1
49421;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;;0;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Костюм двойка;;https://sun9-84.userapi.com/sun9-2/impg/3WdZRbpDxTfWIhewSEHWMOkMOF35ARZ95TwWkA/mgoiYiuvHB0.jpg?size=458x604&amp&quality=96&amp&sign=a3737e71abe80cbc50520052c61fbea2&amp&type=album;;49421;Костюм двойка;УСН 6%;1
49421;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49422;;;1
49421;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49423;;;1
49421;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49424;;;1
49421;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1050;;;49425;;;1
21289;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-50/impg/hVGpaoKz6K7ktgOrPrMw_ULsG6FAXTt8ksF1_w/DkG38_L9qSQ.jpg?size=489x604&amp&quality=96&amp&sign=6910d7e2bab8ff80a92bfd2673b7ecf7&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;21289;Платье;УСН 6%;1
21289;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;21290;;;1
21289;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;21291;;;1
21289;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;21292;;;1
21289;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;21293;;;1
68920;variable;Пол;Женщинам;1;Размер;42, 44, 46, 48;1;Характеристики;;0;Сезонность;;0;Эластичность;Да;1;Состав;Лапша;1;Размерность;;0;Длина;;0;Страна;Турция;1;Оптовая цена;;0;Стиль;;0;Платье;;https://sun9-84.userapi.com/sun9-20/impg/Dwvtrf3GjY4sIWIXgmpW3SJsIGZZHg7SFB0XUg/Ffrfd4aGcJo.jpg?size=105x130&amp&quality=96&amp&sign=09c8cbbb52e17711d248fe8a1c1f9a57&amp&type=album;Интернет-магазин Садовод,Интернет-магазин Садовод>Женская одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда,Интернет-магазин Садовод>Женская одежда>Повседневная одежда>Платья;68920;Платье;УСН 6%;1
68920;variation;;;;Размер;42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68921;;;1
68920;variation;;;;Размер;44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68922;;;1
68920;variation;;;;Размер;46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68923;;;1
68920;variation;;;;Размер;48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;700;;;68924;;;1
